Task Name,WBS,Dependencies,Description
T01,Περιβαλλοντική Μελέτη,"T25, T12","Workstream: Environmental & Permitting
Practical predecessors: T25 (Final Master Plan Package) · T12 (Τοπογραφικό)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4014/2011 (άρθρο 8 – ΠΠΔ) · ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/2025 (ΦΕΚ Β’ 4095/29.07.2025) – ΠΠΔ για Κέντρα Δεδομένων.
Διαδικασία (πρακτικά):
1) Επιβεβαίωση υπαγωγής σε ΠΠΔ (Κατηγορία Β) και ότι δεν απαιτείται ΜΠΕ/ΑΕΠΟ.
2) Συλλογή στοιχείων: θέση/όρια, ισχύς/φορτία, Η/Μ εξοπλισμός, εφεδρικές Η/Π, θόρυβος, ύδατα, απόβλητα, κυκλοφορία.
3) Έλεγχος ειδικών καθεστώτων (π.χ. προστατευόμενες περιοχές/δεσμεύσεις) και ενσωμάτωση απαιτήσεων.
4) Υποβολή φακέλου & παρακολούθηση αιτημάτων συμπλήρωσης μέχρι την πράξη υπαγωγής.
Παραδοτέο: πράξη υπαγωγής + λίστα δεσμεύσεων (SECs) για compliance tracking.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Environmental & Permitting» όταν τα predecessors το επιτρέπουν."
T02,05_ΓΕΝΙΚΟ ΠΙΣΤΟΠΟΙΗΤΙΚΟ,T48,"Workstream: ADMIE Packet
Practical predecessors: T48 (KICK OFF)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά για φάκελο ΑΔΜΗΕ):
1) Έκδοση/συλλογή εγγράφου σε ισχύ (πρόσφατο).
2) Έλεγχος συνέπειας στοιχείων σε όλα τα έγγραφα (επωνυμία, εκπροσώπηση).
3) PDF, σαφής ονομασία αρχείου, έλεγχος αναγνωσιμότητας.
Παραδοτέο: έγγραφο έτοιμο για υποβολή χωρίς διορθώσεις.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «ADMIE Packet» όταν τα predecessors το επιτρέπουν."
T03,Εκπόνηση μελέτης από ΑΔΜΗΕ για την διάταξη του Υ/Σ και τα έργα σύνδεσης με το Δίκτυο ΥΤ,T41,"Workstream: Grid / ADMIE
Practical predecessors: T41 (Έγκριση καταλληλότητας από ΑΔΜΗΕ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T04,Οριστική Προσφορά Σύνδεση από ΑΔΜΗΕ,T53,"Workstream: Grid / ADMIE
Practical predecessors: T53 (Οριστική Προσφορά Σύνδεσης (ΟΠΣ))
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T05,11_ΔΙΑΓΡΑΜΜΑ_ΚΑΛΥΨΗΣ,"T19, T40","Workstream: Other
Practical predecessors: T19 (Scalable DC Floor Plans) · T40 (08_ΤΟΠΟΓΡΑΦΙΚΟ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Other» όταν τα predecessors το επιτρέπουν."
T06,Διάγραμμα κάλυψης,T05,"Workstream: Other
Practical predecessors: T05 (11_ΔΙΑΓΡΑΜΜΑ_ΚΑΛΥΨΗΣ)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Other» όταν τα predecessors το επιτρέπουν."
T07,Τεχνική έκθεση του έργου,"T20, T16","Workstream: Other
Practical predecessors: T20 (Basis of Design (BoD)) · T16 (Power Availability Assessment)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Other» όταν τα predecessors το επιτρέπουν."
T08,Επιλογή έκτασης για κατασκευή  του Υ/Σ,"T22, T16","Workstream: Grid / ADMIE
Practical predecessors: T22 (Εύρεση γης) · T16 (Power Availability Assessment)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (best practice):
1) Define scope & DoD.
2) Παραδοτέο σε PDF + source.
3) QA/peer review.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
T09,Έγκριση ΠΠΔ,T01,"Workstream: Environmental & Permitting
Practical predecessors: T01 (Περιβαλλοντική Μελέτη)
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Νομοθεσία: Ν.4014/2011 (άρθρο 8 – ΠΠΔ) · ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/2025 (ΦΕΚ Β’ 4095/29.07.2025) – ΠΠΔ για Κέντρα Δεδομένων.
Διαδικασία (πρακτικά):
1) Επιβεβαίωση υπαγωγής σε ΠΠΔ (Κατηγορία Β) και ότι δεν απαιτείται ΜΠΕ/ΑΕΠΟ.
2) Συλλογή στοιχείων: θέση/όρια, ισχύς/φορτία, Η/Μ εξοπλισμός, εφεδρικές Η/Π, θόρυβος, ύδατα, απόβλητα, κυκλοφορία.
3) Έλεγχος ειδικών καθεστώτων (π.χ. προστατευόμενες περιοχές/δεσμεύσεις) και ενσωμάτωση απαιτήσεων.
4) Υποβολή φακέλου & παρακολούθηση αιτημάτων συμπλήρωσης μέχρι την πράξη υπαγωγής.
Παραδοτέο: πράξη υπαγωγής + λίστα δεσμεύσεων (SECs) για compliance tracking.
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Environmental & Permitting» όταν τα predecessors το επιτρέπουν."
T10,Κατάθεση συμπληρωματικών στοιχείων ΟΠΣ,T53,"Workstream: Grid / ADMIE
Practical predecessors: T53 (Οριστική Προσφορά Σύνδεσης (ΟΠΣ))
Σκοπός/Έξοδος: σαφές παραδοτέο που ξεκλειδώνει το επόμενο βήμα (όχι θεωρητικό).
Διαδικασία (πρακτικά μέχρι Stage 3):
1) Πλήρης φάκελος αίτησης με συνεπή στοιχεία (εταιρία/εκπρόσωπος/τεχνικά).
2) Παράλληλη εκτέλεση τεχνικών pre-reqs: έκταση Υ/Σ + μετρήσεις ειδικής αντίστασης εδάφους (γείωση).
3) Γρήγορη απόκριση σε αιτήματα συμπλήρωσης (μειώνει γύρους/καθυστερήσεις).
4) Στην ΟΠΣ: εσωτερικός έλεγχος όρων (scope, χρονοδιάγραμμα, ευθύνες) και υποβολή συμπληρωματικών όπου απαιτείται.
5) Αποδοχή όρων εντός προθεσμιών προσφοράς (κρίσιμο σημείο).
Παράλληλα: σχεδιάστηκε ώστε να μπορεί να τρέχει παράλληλα με τα λοιπά tasks του workstream «Grid / ADMIE» όταν τα predecessors το επιτρέπουν."
