Task Name,WBS,Description,Start Date,Due Date,Estimated Time,Dependencies
Kick-off – governance – baseline Gantt v0,1.1,"Στήσιμο έργου & fast-track στρατηγική. • Outputs: RACI/ρόλοι, master risk log, stakeholder map/λίστα εμπλεκόμενων φορέων, baseline milestones.",2026-02-02,2026-02-06,5d effort + 0d wait = 5d total,nan
Data room (ΗΠΜ/e-ΠΜ & Grid) + GIS basepack,1.2,"Data room + πρότυπα φακέλων για ΗΠΜ (e-ΠΜ) & Grid. • GIS basepack: όρια έργου (polygon), ΕΓΣΑ’87, orthos, DEM, layers Natura/δασικοί/ρέματα/χωροταξικά.",2026-02-09,2026-02-13,4d effort + 1d wait = 5d total,Kick-off – governance – baseline Gantt v0
Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος,1.3,"Ιδιοκτησιακό/νομικός έλεγχος (worst case: κατακερματισμός). • Docs: τίτλοι/Κτηματολόγιο, μισθωτήρια/δουλείες, πληρεξούσια, πίνακας ιδιοκτησιών, συμφωνίες πρόσβασης/διέλευσης.",2026-02-09,2026-05-01,20d effort + 40d wait = 60d total,Kick-off – governance – baseline Gantt v0
GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση,1.4,"Χαρτογράφηση περιορισμών & προκαταρκτική χωροθέτηση. • Outputs: constraints map, screening (Natura, δασικό, ρέματα, ΖΟΕ/ΓΠΣ, αρχαιολογία), list of permits/opinions ανά φορέα.",2026-02-16,2026-03-06,10d effort + 5d wait = 15d total,Data room (ΗΠΜ/e-ΠΜ & Grid) + GIS basepack
Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept,1.5,"Προκαταρκτικός τεχνικός σχεδιασμός. • Plans: layout (πάνελ/οδεύσεις), οριζοντιογραφία συνοδών (οδοποιία/Υ/Σ/γραμμή), SLD concept, εναλλακτικές όδευσης για ΜΠΕ/ΟΠΣ.",2026-03-09,2026-04-03,15d effort + 5d wait = 20d total,GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση
Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών),1.6,"Τοπογραφικά υψηλής ακρίβειας. • Deliverables: τοπογραφικό διάγραμμα, όρια ιδιοκτησιών, ισοϋψείς, συντεταγμένες κορυφών, shapefiles/KML.",2026-05-04,2026-05-29,15d effort + 5d wait = 20d total,Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος
Γεωτεχνική προκαταρκτική διερεύνηση (δοκιμές – report),1.7,"Γεωτεχνική προκαταρκτική (για θεμελιώσεις/οδοποιία). • Deliverables: boreholes/tests, γεωτεχνικό report, προτάσεις βελτιώσεων/αποστράγγισης.",2026-05-04,2026-05-29,15d effort + 5d wait = 20d total,Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος
Οικολογικές/ορνιθολογικές καταγραφές 4 εποχών (Natura worst case),1.8,"Καταγραφές 4 εποχών (Natura worst-case). • Deliverables: ορνιθοπανίδα/οικότοποι/είδη-στόχοι, χαρτογράφηση ευαίσθητων περιοχών, inputs για Δέουσα/ΕΟΑ.",2026-03-09,2027-02-25,60d effort + 192d wait = 252d total,GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση
Φάκελος Βεβαίωσης Παραγωγού (ΡΑΑΕΥ) – προετοιμασία,2.1,"Σύνταξη αίτησης Βεβαίωσης Παραγωγού. • Docs: εταιρικά/νομιμοποιητικά, Τεχνική Περιγραφή, χάρτες/πολύγωνο, ισχύς/τεχνολογία, στοιχεία γηπέδου/δικαιώματα, παράβολα/εγγυήσεις (όπου απαιτείται).",2026-06-01,2026-06-19,12d effort + 3d wait = 15d total,Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept; Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος
ΡΑΑΕΥ έλεγχος/ερωτήματα/συμπληρώσεις (worst-case κύκλοι),2.2,"ΡΑΑΕΥ: κύκλοι ερωτημάτων/συμπληρώσεων (worst-case). • Outputs: απαντήσεις, διορθώσεις φακέλου, επικαιροποιήσεις χαρτών/τεχνικής περιγραφής.",2026-06-22,2026-12-04,20d effort + 100d wait = 120d total,Φάκελος Βεβαίωσης Παραγωγού (ΡΑΑΕΥ) – προετοιμασία
