Task name,Tags,Time Estimate,Start date,Due date,Dependencies,Description,Comments,Custom Field [text] [WBS],Custom Field [drop_down] [Contractor]
Kick-off – governance – baseline Gantt v0,PV; Permitting; WorstCase; Phase-Setup; Preparation,40h,2026-02-02,2026-02-06,,"Στήσιμο έργου & fast-track στρατηγική. • Outputs: RACI/ρόλοι, master risk log, stakeholder map/λίστα εμπλεκόμενων φορέων, baseline milestones.
WBS: 1.1
Dependencies (Task Name): nan
Estimated Time: 5d effort + 0d wait = 5d total",,1.1,
Data room (ΗΠΜ/e-ΠΜ & Grid) + GIS basepack,PV; Permitting; WorstCase; Phase-Setup; Preparation,32h,2026-02-09,2026-02-13,Kick-off – governance – baseline Gantt v0,"Data room + πρότυπα φακέλων για ΗΠΜ (e-ΠΜ) & Grid. • GIS basepack: όρια έργου (polygon), ΕΓΣΑ’87, orthos, DEM, layers Natura/δασικοί/ρέματα/χωροταξικά.
WBS: 1.2
Dependencies (Task Name): Kick-off – governance – baseline Gantt v0
Estimated Time: 4d effort + 1d wait = 5d total",,1.2,
Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος,PV; Permitting; WorstCase; Phase-Setup; Preparation; LandControl,160h,2026-02-09,2026-05-01,Kick-off – governance – baseline Gantt v0,"Ιδιοκτησιακό/νομικός έλεγχος (worst case: κατακερματισμός). • Docs: τίτλοι/Κτηματολόγιο, μισθωτήρια/δουλείες, πληρεξούσια, πίνακας ιδιοκτησιών, συμφωνίες πρόσβασης/διέλευσης.
WBS: 1.3
Dependencies (Task Name): Kick-off – governance – baseline Gantt v0
Estimated Time: 20d effort + 40d wait = 60d total",,1.3,
GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση,PV; Permitting; WorstCase; Phase-Setup; Preparation,80h,2026-02-16,2026-03-06,Data room (ΗΠΜ/e-ΠΜ & Grid) + GIS basepack,"Χαρτογράφηση περιορισμών & προκαταρκτική χωροθέτηση. • Outputs: constraints map, screening (Natura, δασικό, ρέματα, ΖΟΕ/ΓΠΣ, αρχαιολογία), list of permits/opinions ανά φορέα.
WBS: 1.4
Dependencies (Task Name): Data room (ΗΠΜ/e-ΠΜ & Grid) + GIS basepack
Estimated Time: 10d effort + 5d wait = 15d total",,1.4,
Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept,PV; Permitting; WorstCase; Phase-Setup; Preparation,120h,2026-03-09,2026-04-03,GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση,"Προκαταρκτικός τεχνικός σχεδιασμός. • Plans: layout (πάνελ/οδεύσεις), οριζοντιογραφία συνοδών (οδοποιία/Υ/Σ/γραμμή), SLD concept, εναλλακτικές όδευσης για ΜΠΕ/ΟΠΣ.
WBS: 1.5
Dependencies (Task Name): GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση
Estimated Time: 15d effort + 5d wait = 20d total",,1.5,
Νέα τοπογραφικά (GNSS – οριοθέτηση πολυγώνου – όρια ιδιοκτησιών),PV; Permitting; WorstCase; Phase-Setup; Preparation; Surveys,120h,2026-05-04,2026-05-29,Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος,"Τοπογραφικά υψηλής ακρίβειας. • Deliverables: τοπογραφικό διάγραμμα, όρια ιδιοκτησιών, ισοϋψείς, συντεταγμένες κορυφών, shapefiles/KML.
WBS: 1.6
Dependencies (Task Name): Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος
Estimated Time: 15d effort + 5d wait = 20d total",,1.6,
Γεωτεχνική προκαταρκτική διερεύνηση (δοκιμές – report),PV; Permitting; WorstCase; Phase-Setup; Preparation; Surveys,120h,2026-05-04,2026-05-29,Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος,"Γεωτεχνική προκαταρκτική (για θεμελιώσεις/οδοποιία). • Deliverables: boreholes/tests, γεωτεχνικό report, προτάσεις βελτιώσεων/αποστράγγισης.
WBS: 1.7
Dependencies (Task Name): Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος
Estimated Time: 15d effort + 5d wait = 20d total",,1.7,
Οικολογικές/ορνιθολογικές καταγραφές 4 εποχών (Natura worst case),PV; Permitting; WorstCase; Phase-Setup; Preparation; Natura,480h,2026-03-09,2027-02-25,GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση,"Καταγραφές 4 εποχών (Natura worst-case). • Deliverables: ορνιθοπανίδα/οικότοποι/είδη-στόχοι, χαρτογράφηση ευαίσθητων περιοχών, inputs για Δέουσα/ΕΟΑ.
WBS: 1.8
Dependencies (Task Name): GIS constraints (Natura/δασικοί/ρέματα/ΖΟΕ/ΓΠΣ) + προκαταρκτική χωροθέτηση
Estimated Time: 60d effort + 192d wait = 252d total",,1.8,
Natura baseline διαθέσιμο (2 εποχές) – milestone,PV; Permitting; WorstCase; Phase-Setup; Natura; Milestone,8h,2026-09-04,2026-09-04,Data room (ΗΠΜ/e-ΠΜ & Grid) + GIS basepack,"Milestone: διαθέσιμα προκαταρκτικά δεδομένα Natura (≥2 εποχές) ώστε να ξεκινήσει drafting ΜΠΕ.
Estimated Time: 1d effort + 0d wait = 1d total",,1.8.1,
Φάκελος Βεβαίωσης Παραγωγού (ΡΑΑΕΥ) – προετοιμασία,PV; Permitting; WorstCase; Phase-RAAEY; ProducerCertificate,96h,2026-06-01,2026-06-19,Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept; Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος,"Σύνταξη αίτησης Βεβαίωσης Παραγωγού. • Docs: εταιρικά/νομιμοποιητικά, Τεχνική Περιγραφή, χάρτες/πολύγωνο, ισχύς/τεχνολογία, στοιχεία γηπέδου/δικαιώματα, παράβολα/εγγυήσεις (όπου απαιτείται).
WBS: 2.1
Dependencies (Task Name): Προκαταρκτικός σχεδιασμός έργου & διαδρομή διασύνδεσης (corridor) + SLD concept; Ιδιοκτησιακό/μισθώσεις/δουλείες & νομικός έλεγχος
Estimated Time: 12d effort + 3d wait = 15d total",,2.1,
