Task name,Tags,Time Estimate,Start date,Due date,Dependencies,Description,Comments,Custom Field [text] [WBS],Custom Field [drop_down] [Contractor]
ΣΥΝΟΨΗ | 1 Προετοιμασία έργου & data room,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία, Σύνοψη",,2026-02-02,2026-04-10,,"Summary task (ομαδοποίηση). Μην το χρησιμοποιείς για εκτέλεση — χρησιμεύει για καθαρό WBS/Gantt.
Covers: 1.
Εκτιμώμενος χρόνος: 0d effort + 0d wait = 0d total",,1,
Kick-off – governance – baseline Gantt v0 (DC Μελιγαλάς),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",40,2026-02-02,2026-02-06,,"Στήσιμο έργου & fast-track στρατηγική για Datacenter εντός ΒΙΠΕ Μελιγαλά.
• Παραδοτέα:
  - RACI/ρόλοι
  - stakeholder map (ΒΙΠΕ, Δήμος, Περιφέρεια, ΔΕΔΔΗΕ/ΑΔΜΗΕ, Πυροσβεστική, ύδρευση/αποχέτευση)
  - risk log
  - baseline milestones
Εκτιμώμενος χρόνος: 5d effort + 0d wait = 5d total",,1.1,
Data room – πρότυπα (ΠΠΔ & Δίκτυο) – GIS basepack,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",32,2026-02-09,2026-02-13,Kick-off – governance – baseline Gantt v0 (DC Μελιγαλάς),"Data room με δομή φακέλων και πρότυπα εγγράφων για ΠΠΔ & Grid. GIS basepack για το γήπεδο στη ΒΙΠΕ.
• Παραδοτέα:
  - folder structure + naming
  - όρια γηπέδου (EGSA87) + shapefiles/KML
  - ορθοφωτοχάρτες/DEM
  - χάρτες πρόσβασης/υποδομών ΒΙΠΕ
Εκτιμώμενος χρόνος: 4d effort + 1d wait = 5d total",,1.2,
Έλεγχος γηπέδου – μίσθωση/παραχώρηση εντός ΒΙΠΕ – όροι λειτουργίας ΒΙΠΕ,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",80,2026-02-09,2026-03-20,Kick-off – governance – baseline Gantt v0 (DC Μελιγαλάς),"Ιδιοκτησιακό/μισθωτικό και ειδικοί όροι ΒΙΠΕ (κανονισμός, πρόσβαση, δίκτυα, περιορισμοί).
• Παραδοτέα:
  - συμφωνητικό μίσθωσης/παραχώρησης
  - βεβαίωση/όροι φορέα διαχείρισης ΒΙΠΕ
  - πίνακας δικαιωμάτων/δουλειών
  - πληρεξούσια/νομιμοποιητικά
Εκτιμώμενος χρόνος: 10d effort + 20d wait = 30d total",,1.3,
Χάρτης περιορισμών & αδειών (ΒΙΠΕ) – προκαταρκτικό screening,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",48,2026-02-16,2026-02-27,Data room – πρότυπα (ΠΠΔ & Δίκτυο) – GIS basepack,"Pre-screening περιορισμών (εντός ΒΙΠΕ) και list απαιτήσεων ΠΠΔ/λοιπών τεκμηριώσεων (θόρυβος, Η/Μ, δεξαμενές κ.λπ.).
• Παραδοτέα:
  - constraints map
  - λίστα απαιτούμενων τεκμηριώσεων για ΠΠΔ
  - λίστα εμπλεκόμενων υπηρεσιών/παρόχων
Εκτιμώμενος χρόνος: 6d effort + 4d wait = 10d total",,1.4,
Concept design v0 (πολιτικά – Η/Μ – IT φορτίο – εφεδρείες),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",96h,2026-03-02,2026-03-27,Χάρτης περιορισμών & αδειών (ΒΙΠΕ) – προκαταρκτικό screening,"Concept σχεδιασμού Datacenter (χώροι, Η/Μ, ψύξη, εφεδρείες, κατανάλωση/φορτία).
• Παραδοτέα:
  - block layout
  - MEP concept (HVAC, UPS, generators)
  - single line diagram concept
  - IT load profile assumptions
  - fuel storage concept (αν υπάρχει)
Εκτιμώμενος χρόνος: 12d effort + 8d wait = 20d total",,1.5,
Τοπογραφικό – όρια & σημεία σύνδεσης παροχών (ΒΙΠΕ),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",80h,2026-03-23,2026-04-10,Έλεγχος γηπέδου – μίσθωση/παραχώρηση εντός ΒΙΠΕ – όροι λειτουργίας ΒΙΠΕ,"Τοπογραφικό & αποτύπωση σημείων σύνδεσης (Δίκτυα ΒΙΠΕ, πρόσβαση, παροχές).
• Παραδοτέα:
  - τοπογραφικό διάγραμμα
  - συντεταγμένες/ισοϋψείς
  - αποτύπωση υφιστάμενων δικτύων/οδεύσεων στη ΒΙΠΕ
  - as-built όπου διαθέσιμα
Εκτιμώμενος χρόνος: 10d effort + 5d wait = 15d total",,1.6,
Προκαταρκτική γεωτεχνική (θεμελιώσεις & αποστράγγιση),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",80h,2026-03-23,2026-04-10,Έλεγχος γηπέδου – μίσθωση/παραχώρηση εντός ΒΙΠΕ – όροι λειτουργίας ΒΙΠΕ,"Προκαταρκτική γεωτεχνική για θεμελιώσεις/αποστραγγίσεις/αντοχές.
• Παραδοτέα:
  - γεωτεχνικό report
  - δοκιμές/γεωτρήσεις (όπου απαιτείται)
  - recommendations για θεμελίωση/earthworks
Εκτιμώμενος χρόνος: 10d effort + 5d wait = 15d total",,1.7,
Προφίλ φορτίου & growth plan (MW/MVA) – στρατηγική ψύξης – στόχοι διαθεσιμότητας,"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",48h,2026-03-30,2026-04-10,Concept design v0 (πολιτικά – Η/Μ – IT φορτίο – εφεδρείες),"Ορισμός φορτίου (MW/MVA), προφίλ κατανάλωσης και επεκτασιμότητα (phasing).
• Παραδοτέα:
  - load schedule (base/peak)
  - phasing plan
  - cooling strategy & assumptions
  - availability targets (Tier concept)
Εκτιμώμενος χρόνος: 6d effort + 4d wait = 10d total",,1.8,
Προ-διαβουλεύσεις – Φορέας ΒΙΠΕ – Δήμος/ΔΕΥΑ – Πυροσβεστική (early risk surfacing),"ΚέντροΔεδομένων, Μελιγαλάς, ΒΙΠΕ, ΠΠΔ, Αδειοδότηση, Φάση-Προετοιμασία",56h,2026-03-02,2026-03-20,Χάρτης περιορισμών & αδειών (ΒΙΠΕ) – προκαταρκτικό screening,"Προκαταρκτικές επαφές για risk surfacing: ύδρευση/αποχέτευση, πυροπροστασία concept, λειτουργικοί περιορισμοί ΒΙΠΕ.
• Παραδοτέα:
  - minutes/notes
  - λίστα απαιτήσεων ανά φορέα
  - risk register updates
Εκτιμώμενος χρόνος: 7d effort + 8d wait = 15d total",,1.9,
