Task name,Tags,Time Estimate,Start date,Due date,Dependencies,Description,Comments,Custom Field [text] [WBS],Custom Field [drop_down] [Contractor]
SUMMARY | 1 Project setup & data room,"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup, Summary",,2026-02-02,2026-04-10,,"Summary task (ομαδοποίηση). Μην το χρησιμοποιείς για εκτέλεση — χρησιμεύει για καθαρό WBS/Gantt.
Covers: 1.
Estimated Time: 0d effort + 0d wait = 0d total",,1,
Kick-off – governance – baseline Gantt v0 (DC Meligalas),"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",40h,2026-02-02,2026-02-06,,"Στήσιμο έργου & fast-track στρατηγική για Datacenter εντός ΒΙΠΕ Μελιγαλά.
• Deliverables:
  - RACI/ρόλοι
  - stakeholder map (ΒΙΠΕ, Δήμος, Περιφέρεια, ΔΕΔΔΗΕ/ΑΔΜΗΕ, Πυροσβεστική, ύδρευση/αποχέτευση)
  - risk log
  - baseline milestones
Estimated Time: 5d effort + 0d wait = 5d total",,1.1,
Data room – templates (PPD & Grid) – GIS basepack,"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",32h,2026-02-09,2026-02-13,Kick-off – governance – baseline Gantt v0 (DC Meligalas),"Data room με δομή φακέλων και πρότυπα εγγράφων για ΠΠΔ & Grid. GIS basepack για το γήπεδο στη ΒΙΠΕ.
• Deliverables:
  - folder structure + naming
  - όρια γηπέδου (EGSA87) + shapefiles/KML
  - ορθοφωτοχάρτες/DEM
  - χάρτες πρόσβασης/υποδομών ΒΙΠΕ
Estimated Time: 4d effort + 1d wait = 5d total",,1.2,
Land control – μίσθωση/παραχώρηση εντός ΒΙΠΕ – έλεγχος όρων ΒΙΠΕ,"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",80h,2026-02-09,2026-03-20,Kick-off – governance – baseline Gantt v0 (DC Meligalas),"Ιδιοκτησιακό/μισθωτικό και ειδικοί όροι ΒΙΠΕ (κανονισμός, πρόσβαση, δίκτυα, περιορισμοί).
• Deliverables:
  - συμφωνητικό μίσθωσης/παραχώρησης
  - βεβαίωση/όροι φορέα διαχείρισης ΒΙΠΕ
  - πίνακας δικαιωμάτων/δουλειών
  - πληρεξούσια/νομιμοποιητικά
Estimated Time: 10d effort + 20d wait = 30d total",,1.3,
Site constraints & permits map (ΒΙΠΕ) – preliminary screening,"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",48h,2026-02-16,2026-02-27,Data room – templates (PPD & Grid) – GIS basepack,"Pre-screening περιορισμών (εντός ΒΙΠΕ) και list απαιτήσεων ΠΠΔ/λοιπών τεκμηριώσεων (θόρυβος, Η/Μ, δεξαμενές κ.λπ.).
• Deliverables:
  - constraints map
  - λίστα απαιτούμενων τεκμηριώσεων για ΠΠΔ
  - λίστα εμπλεκόμενων υπηρεσιών/παρόχων
Estimated Time: 6d effort + 4d wait = 10d total",,1.4,
Concept design v0 (civil – MEP – IT load – redundancy),"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",96h,2026-03-02,2026-03-27,Site constraints & permits map (ΒΙΠΕ) – preliminary screening,"Concept σχεδιασμού Datacenter (χώροι, Η/Μ, ψύξη, εφεδρείες, κατανάλωση/φορτία).
• Deliverables:
  - block layout
  - MEP concept (HVAC, UPS, generators)
  - single line diagram concept
  - IT load profile assumptions
  - fuel storage concept (αν υπάρχει)
Estimated Time: 12d effort + 8d wait = 20d total",,1.5,
Topographic survey – boundaries & utilities tie-in points (ΒΙΠΕ),"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",80h,2026-03-23,2026-04-10,Land control – μίσθωση/παραχώρηση εντός ΒΙΠΕ – έλεγχος όρων ΒΙΠΕ,"Τοπογραφικό & αποτύπωση σημείων σύνδεσης (Δίκτυα ΒΙΠΕ, πρόσβαση, παροχές).
• Deliverables:
  - τοπογραφικό διάγραμμα
  - συντεταγμένες/ισοϋψείς
  - αποτύπωση υφιστάμενων δικτύων/οδεύσεων στη ΒΙΠΕ
  - as-built όπου διαθέσιμα
Estimated Time: 10d effort + 5d wait = 15d total",,1.6,
Geotechnical pre-investigation (foundation & drainage),"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",80h,2026-03-23,2026-04-10,Land control – μίσθωση/παραχώρηση εντός ΒΙΠΕ – έλεγχος όρων ΒΙΠΕ,"Προκαταρκτική γεωτεχνική για θεμελιώσεις/αποστραγγίσεις/αντοχές.
• Deliverables:
  - γεωτεχνικό report
  - δοκιμές/γεωτρήσεις (όπου απαιτείται)
  - recommendations για θεμελίωση/earthworks
Estimated Time: 10d effort + 5d wait = 15d total",,1.7,
Load profile & growth plan (MW/MVA) – cooling strategy – resiliency targets,"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",48h,2026-03-30,2026-04-10,Concept design v0 (civil – MEP – IT load – redundancy),"Ορισμός φορτίου (MW/MVA), προφίλ κατανάλωσης και επεκτασιμότητα (phasing).
• Deliverables:
  - load schedule (base/peak)
  - phasing plan
  - cooling strategy & assumptions
  - availability targets (Tier concept)
Estimated Time: 6d effort + 4d wait = 10d total",,1.8,
Pre-consults – ΒΙΠΕ management – Δήμος/ΔΕΥΑ – Πυροσβεστική (early risk surfacing),"Datacenter, Meligalas, ViPE, PPD, Permitting, Phase-Setup",56h,2026-03-02,2026-03-20,Site constraints & permits map (ΒΙΠΕ) – preliminary screening,"Προκαταρκτικές επαφές για risk surfacing: ύδρευση/αποχέτευση, πυροπροστασία concept, λειτουργικοί περιορισμοί ΒΙΠΕ.
• Deliverables:
  - minutes/notes
  - λίστα απαιτήσεων ανά φορέα
  - risk register updates
Estimated Time: 7d effort + 8d wait = 15d total",,1.9,
