Task Name,WBS,Dependencies,Description,Start Date,Due Date,Estimated Time in day
T01,Περιβαλλοντική Μελέτη,"T25, T12","Workstream: Other
Σκοπός: Υπαγωγή σε ΠΠΔ (Κατηγορία Β) για Data Center σε ΒΙΠΕ, με πλήρη φάκελο και τήρηση δεσμεύσεων.
Παραδοτέα: φάκελος υπαγωγής ΠΠΔ (περιγραφή, θέσεις, σχέδια, μέτρα/δεσμεύσεις).
Νομοθεσία/Κανονιστικό: ν.4014/2011 (άρθρο 8 ΠΠΔ) + ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/23-07-2025 (ΦΕΚ Β’ 4095/29.07.2025) – Πρότυπες Περιβαλλοντικές Δεσμεύσεις (ΠΠΔ) για Κέντρα Δεδομένων
Διαδικασία: υποβολή/δήλωση υπαγωγής σε ΠΠΔ (Κατηγ. Β) → έλεγχος πληρότητας → πράξη υπαγωγής → τήρηση ΠΠΔ.
Key: T01
Prerequisites (by Task Name keys): T25, T12",2026-04-09,2026-04-29,15
T02,05_ΓΕΝΙΚΟ ΠΙΣΤΟΠΟΙΗΤΙΚΟ,T48,"Workstream: ADMIE Packet
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T02
Prerequisites (by Task Name keys): T48",2026-02-03,2026-02-04,2
T03,Εκπόνηση μελέτης από ΑΔΜΗΕ για την διάταξη του Υ/Σ και τα έργα σύνδεσης με το Δίκτυο ΥΤ,T41,"Workstream: Grid / ADMIE
Σκοπός: Μελέτη ΑΔΜΗΕ για διάταξη Υ/Σ και έργα σύνδεσης ΥΤ (βάση για ΟΠΣ).
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T03
Prerequisites (by Task Name keys): T41",2026-04-14,2026-06-15,45
T04,Οριστική Προσφορά Σύνδεση από ΑΔΜΗΕ,T53,"Workstream: Grid / ADMIE
Σκοπός: Έκδοση ΟΠΣ: όροι, τεχνικά/οικονομικά, χρονοδιάγραμμα έργων σύνδεσης.
Key: T04
Prerequisites (by Task Name keys): T53",2026-06-17,2026-06-17,1
T05,11_ΔΙΑΓΡΑΜΜΑ_ΚΑΛΥΨΗΣ,"T19, T40","Workstream: Other
Σκοπός: Δικαιολογητικό/τεχνικό παραδοτέο για φάκελο αίτησης/αδειοδότησης.
Key: T05
Prerequisites (by Task Name keys): T19, T40",2026-03-26,2026-04-01,5
T06,Διάγραμμα κάλυψης,T05,"Workstream: Other
Σκοπός: Παραδοτέο/βήμα έργου.
Key: T06
Prerequisites (by Task Name keys): T05",2026-04-02,2026-04-03,2
T07,Τεχνική έκθεση του έργου,"T20, T16","Workstream: Other
Σκοπός: Παραδοτέο/βήμα έργου.
Key: T07
Prerequisites (by Task Name keys): T20, T16",2026-03-10,2026-03-16,5
T08,Επιλογή έκτασης για κατασκευή  του Υ/Σ,"T22, T16","Workstream: Grid / ADMIE
Σκοπός: Παραδοτέο/βήμα έργου.
Key: T08
Prerequisites (by Task Name keys): T22, T16",2026-02-24,2026-03-04,7
T09,Έγκριση ΠΠΔ,T01,"Workstream: Other
Σκοπός: Υπαγωγή σε ΠΠΔ (Κατηγορία Β) για Data Center σε ΒΙΠΕ, με πλήρη φάκελο και τήρηση δεσμεύσεων.
Παραδοτέα: πράξη/βεβαίωση υπαγωγής σε ΠΠΔ + obligations tracker.
Νομοθεσία/Κανονιστικό: ν.4014/2011 (άρθρο 8 ΠΠΔ) + ΥΑ ΥΠΕΝ/ΔΙΠΑ/82255/5190/23-07-2025 (ΦΕΚ Β’ 4095/29.07.2025) – Πρότυπες Περιβαλλοντικές Δεσμεύσεις (ΠΠΔ) για Κέντρα Δεδομένων
Διαδικασία: υποβολή/δήλωση υπαγωγής σε ΠΠΔ (Κατηγ. Β) → έλεγχος πληρότητας → πράξη υπαγωγής → τήρηση ΠΠΔ.
Key: T09
Prerequisites (by Task Name keys): T01",2026-04-30,2026-05-27,20
T10,Κατάθεση συμπληρωματικών στοιχείων ΟΠΣ,T53,"Workstream: Grid / ADMIE
Σκοπός: Υποβολή συμπληρωματικών στοιχείων/διευκρινίσεων που ζητά ο ΑΔΜΗΕ για ΟΠΣ.
Διαδικασία (ΑΔΜΗΕ): φάκελος αίτησης → έλεγχος πληρότητας → μετρήσεις/τεκμηρίωση → καταλληλότητα → μελέτη → ΟΠΣ → αποδοχή → αίτηση σύμβασης.
Key: T10
Prerequisites (by Task Name keys): T53",2026-06-17,2026-06-25,7
